code,region,grupos_de_usuarios_e_importe,periodo,total
03,"Asturias, Principado de",- Hogares,2010,61.337
03,"Asturias, Principado de",- Hogares,2009,63.915
03,"Asturias, Principado de",- Hogares,2008,68.449
03,"Asturias, Principado de",- Hogares,2007,71.313
03,"Asturias, Principado de",- Hogares,2006,72.450
03,"Asturias, Principado de",- Hogares,2005,70.926
03,"Asturias, Principado de",- Hogares,2004,67.435
03,"Asturias, Principado de",- Hogares,2003,63.320
03,"Asturias, Principado de",- Hogares,2002,62.094
03,"Asturias, Principado de",- Hogares,2001,60.018
03,"Asturias, Principado de",- Hogares,2000,59.276
03,"Asturias, Principado de",- Consumos municipales,2022,2.957
03,"Asturias, Principado de",- Consumos municipales,2020,5.375
03,"Asturias, Principado de",- Consumos municipales,2018,5.357
03,"Asturias, Principado de",- Consumos municipales,2016,6.204
03,"Asturias, Principado de",- Consumos municipales,2014,7.821
03,"Asturias, Principado de",- Consumos municipales,2013,8.555
03,"Asturias, Principado de",- Consumos municipales,2012,7.876
03,"Asturias, Principado de",- Consumos municipales,2011,5.472
03,"Asturias, Principado de",- Consumos municipales,2010,7.482
03,"Asturias, Principado de",- Consumos municipales,2009,5.950
03,"Asturias, Principado de",- Consumos municipales,2008,5.958
03,"Asturias, Principado de",- Consumos municipales,2007,5.876
03,"Asturias, Principado de",- Consumos municipales,2006,7.074
